,AAPL,TSLA,CL=F
617,86440400.0,164715000.0,460168.0
618,246876800.0,162724500.0,512591.0
619,73939600.0,181098000.0,218933.0
620,134314000.0,191428500.0,122646.0
621,82514800.0,125755500.0,801625.0
622,102847600.0,119506500.0,760719.0
623,108801600.0,153991500.0,1136232.0
624,126652400.0,103969500.0,816207.0
625,98276800.0,111787500.0,848537.0
626,101141200.0,125005500.0,775155.0
627,69460800.0,125970000.0,717347.0
628,90950800.0,97386000.0,602399.0
629,70925200.0,281397000.0,652167.0
630,55819200.0,184239000.0,667235.0
631,66416800.0,262146000.0,841632.0
632,69940800.0,132982500.0,611419.0
633,79026400.0,113952000.0,533003.0
634,63756400.0,142072500.0,586829.0
635,75326000.0,73261500.0,861726.0
636,72164400.0,85818000.0,707887.0
637,50055600.0,88047000.0,530277.0
638,60172400.0,117280500.0,530480.0
639,62138000.0,104943000.0,440727.0
640,65573600.0,84363000.0,187313.0
641,81147200.0,88729500.0,103220.0
642,82704800.0,77433000.0,500967.0
643,63957600.0,164893500.0,555915.0
644,74791600.0,143862000.0,524591.0
645,66839600.0,106131000.0,622913.0
646,76304000.0,69457500.0,489059.0
647,96096000.0,85549500.0,460450.0
648,84118000.0,102211500.0,463011.0
649,157492000.0,76153500.0,519070.0
650,271742800.0,151941000.0,576561.0
651,249616000.0,348225000.0,531071.0
652,133789600.0,204847500.0,476615.0
653,101701600.0,128464500.0,495605.0
654,102349600.0,463137000.0,485027.0
655,90102000.0,368568000.0,760313.0
656,93970400.0,257757000.0,509401.0
657,98444800.0,173280000.0,524490.0
658,103563600.0,156958500.0,578219.0
659,82992000.0,104796000.0,538484.0
660,115230400.0,136519500.0,573473.0
661,114001600.0,90960000.0,383380.0
662,141708000.0,284379000.0,171403.0
663,121150800.0,261034500.0,112709.0
664,104639200.0,197583000.0,437164.0
665,76072400.0,89190000.0,581899.0
666,75532800.0,77209500.0,450690.0
667,73905600.0,54039000.0,517796.0
668,82100400.0,196189500.0,332612.0
669,91107200.0,114736500.0,426833.0
670,109019200.0,111711000.0,497095.0
671,195175200.0,108250500.0,445584.0
672,173360400.0,80626500.0,419739.0
673,109560400.0,125257500.0,785981.0
674,133332000.0,115812000.0,542104.0
675,137160000.0,112212000.0,633824.0
676,150479200.0,337378500.0,530895.0
677,158066000.0,214252500.0,571174.0
678,142996000.0,137550000.0,676869.0
679,197114800.0,150231000.0,800543.0
680,166825600.0,95104500.0,684937.0
681,127997200.0,101484000.0,611075.0
682,148780400.0,103314000.0,422294.0
683,126286800.0,248212500.0,234202.0
684,108495200.0,124423500.0,125208.0
685,106435200.0,110241000.0,607520.0
686,384986800.0,75757500.0,855943.0
687,110773600.0,72645000.0,576894.0
688,98217600.0,67225500.0,551280.0
689,95938800.0,117648000.0,464463.0
690,120724800.0,127636500.0,454549.0
691,91717600.0,504745500.0,544047.0
692,94403200.0,326664000.0,601451.0
693,99152800.0,176152500.0,463615.0
694,114619200.0,119925000.0,698817.0
695,128168000.0,147213000.0,687949.0
696,134322000.0,269167500.0,613218.0
697,118655600.0,202090500.0,554938.0
698,107564000.0,180909000.0,623537.0
699,167962400.0,192229500.0,652737.0
700,212497600.0,122515500.0,783962.0
701,161351600.0,108021000.0,626668.0
702,123164000.0,93000000.0,568610.0
703,116736000.0,142896000.0,535003.0
704,91541600.0,129832500.0,651584.0
705,130325200.0,81318000.0,215337.0
706,132314800.0,140632500.0,108311.0
707,115168400.0,84004500.0,513770.0
708,155071200.0,285417000.0,853265.0
709,163702000.0,300874500.0,775963.0
710,119423200.0,312610500.0,573096.0
711,189033600.0,411382500.0,595211.0
712,183742000.0,217290000.0,477487.0
713,146640000.0,136900500.0,680441.0
714,153435600.0,114364500.0,666487.0
715,233292800.0,120001500.0,790286.0
716,365314800.0,117120000.0,708906.0
717,264654800.0,117465000.0,609129.0
718,127531600.0,101443500.0,761240.0
719,133697600.0,110617500.0,866628.0
720,101450400.0,106360500.0,764546.0
721,137463200.0,76482000.0,821729.0
722,204542000.0,104122500.0,806219.0
723,187531600.0,81729000.0,1095643.0
724,243204000.0,75604500.0,844696.0
725,185915200.0,69385500.0,256499.0
726,147713200.0,108093000.0,159001.0
727,167701200.0,145633500.0,699684.0
728,271300800.0,120070500.0,983120.0
729,124496800.0,70302000.0,734277.0
730,94496000.0,63039000.0,1014667.0
731,179994000.0,119881500.0,663108.0
